subject,predicate,object
Burn injury,classifies,Corrosions involving 80-89% of body surface with 50-59% third degree corrosion
Burn injury,classifies,Corrosions involving 40-49% of body surface with 40-49% third degree corrosion
Burn injury,classifies,Corrosions involving 30-39% of body surface with 0% to 9% third degree corrosion
Burn injury,classifies,Corrosions involving 70-79% of body surface with 0% to 9% third degree corrosion
Burn injury,classifies,Corrosions involving 50-59% of body surface with 0% to 9% third degree corrosion
Burn injury,classifies,Corrosions involving 50-59% of body surface with 30-39% third degree corrosion
Burn injury,classifies,Corrosions involving 60-69% of body surface with 10-19% third degree corrosion
Burn injury,classifies,Corrosions involving 40-49% of body surface with 20-29% third degree corrosion
Burn injury,classifies,Corrosions involving 80-89% of body surface with 70-79% third degree corrosion
Burn injury,classifies,Corrosions involving 70-79% of body surface with 50-59% third degree corrosion
Burn injury,classifies,Corrosions involving 50-59% of body surface with 10-19% third degree corrosion
Burn injury,classifies,Corrosions involving 40-49% of body surface with 10-19% third degree corrosion
Burn injury,classifies,Corrosions involving 60-69% of body surface with 20-29% third degree corrosion
Burn injury,classifies,Corrosions involving 90% or more of body surface with 40-49% third degree corrosion
Burn injury,classifies,Corrosions involving 70-79% of body surface with 20-29% third degree corrosion
Burn injury,classifies,Corrosions involving 70-79% of body surface with 10-19% third degree corrosion
Burn injury,classifies,Corrosions involving 80-89% of body surface with 60-69% third degree corrosion
Burn injury,classifies,Corrosions involving 80-89% of body surface with 30-39% third degree corrosion
Burn injury,classifies,Corrosions involving 90% or more of body surface with 50-59% third degree corrosion
Burn injury,classifies,Corrosions involving 60-69% of body surface with 50-59% third degree corrosion
Burn injury,classifies,Corrosions involving 90% or more of body surface with 30-39% third degree corrosion
Burn injury,classifies,Corrosions involving 90% or more of body surface with 20-29% third degree corrosion
Burn injury,classifies,Corrosions involving 50-59% of body surface with 40-49% third degree corrosion
Burn injury,classifies,Corrosions involving 70-79% of body surface with 30-39% third degree corrosion
Burn injury,classifies,Corrosions involving 70-79% of body surface with 40-49% third degree corrosion
Burn injury,classifies,Corrosions involving 80-89% of body surface with 10-19% third degree corrosion
Burn injury,classifies,Corrosions involving 50-59% of body surface with 50-59% third degree corrosion
Burn injury,classifies,Corrosions involving 90% or more of body surface with 10-19% third degree corrosion
Burn injury,classifies,Corrosions involving 90% or more of body surface with 0% to 9% third degree corrosion
Burn injury,classifies,Corrosions involving 80-89% of body surface with 0% to 9% third degree corrosion
Burn injury,classifies,Corrosions involving 60-69% of body surface with 40-49% third degree corrosion
Burn injury,classifies,Corrosions involving 90% or more of body surface with 90% or more third degree corrosion
Burn injury,classifies,Corrosions involving 80-89% of body surface with 80-89% third degree corrosion
Burn injury,classifies,Corrosions involving 70-79% of body surface with 70-79% third degree corrosion
Burn injury,classifies,Corrosions involving 70-79% of body surface with 60-69% third degree corrosion
Burn injury,classifies,Corrosions involving 60-69% of body surface with 60-69% third degree corrosion
Burn injury,classifies,Corrosions involving 90% or more of body surface with 60-69% third degree corrosion
Burn injury,classifies,Corrosions involving 40-49% of body surface with 0% to 9% third degree corrosion
Burn injury,classifies,Corrosions involving 30-39% of body surface with 30-39% third degree corrosion
Burn injury,classifies,Corrosions involving 80-89% of body surface with 40-49% third degree corrosion
Burn injury,classifies,Corrosions involving 90% or more of body surface with 80-89% third degree corrosion
Burn injury,classifies,Corrosions involving 80-89% of body surface with 20-29% third degree corrosion
Burn injury,classifies,Corrosions involving 40-49% of body surface with 30-39% third degree corrosion
Burn injury,classifies,Corrosions involving 20-29% of body surface with 10-19% third degree corrosion
Burn injury,classifies,Corrosions involving 90% or more of body surface with 70-79% third degree corrosion
Burn injury,classifies,Corrosions involving 50-59% of body surface with 20-29% third degree corrosion
Burn injury,classifies,Corrosions involving 20-29% of body surface with 20-29% third degree corrosion
Burn injury,classifies,Burns involving 50-59% of body surface with 30-39% third degree burns
Burn injury,classifies,"Burn of unspecified ear drum, subsequent encounter"
Burn injury,classifies,Burns involving 50-59% of body surface with 40-49% third degree burns
Burn injury,classifies,Burns involving 60-69% of body surface with 30-39% third degree burns
Burn injury,classifies,Burns involving 50-59% of body surface with 50-59% third degree burns
Burn injury,classifies,Corrosions involving 20-29% of body surface with 0% to 9% third degree corrosion
Burn injury,classifies,"Burn of other parts of alimentary tract, subsequent encounter"
Burn injury,classifies,Burns involving 90% or more of body surface with 50-59% third degree burns
Burn injury,classifies,Burns involving 90% or more of body surface with 70-79% third degree burns
Burn injury,classifies,"Burn of internal genitourinary organs, initial encounter"
Burn injury,classifies,"Burn of unspecified internal organ, sequela"
Burn injury,classifies,"Burn of internal genitourinary organs, sequela"
Burn injury,classifies,"Burn of right ear drum, subsequent encounter"
Burn injury,classifies,"Corrosion of other parts of alimentary tract, sequela"
Burn injury,classifies,"Burn of left ear drum, sequela"
Burn injury,classifies,Burns involving 80-89% of body surface with 40-49% third degree burns
Burn injury,classifies,"Corrosion of respiratory tract, part unspecified, subsequent encounter"
Burn injury,classifies,"Corrosions of other internal organs, initial encounter"
Burn injury,classifies,"Corrosion of internal genitourinary organs, subsequent encounter"
Burn injury,classifies,Burns involving 40-49% of body surface with 10-19% third degree burns
Burn injury,classifies,Burns involving 40-49% of body surface with 20-29% third degree burns
Burn injury,classifies,Burns involving 20-29% of body surface with 10-19% third degree burns
Burn injury,classifies,Burns involving 50-59% of body surface with 10-19% third degree burns
Burn injury,classifies,"Corrosions of unspecified internal organs, sequela"
Burn injury,classifies,"Burn of mouth and pharynx, subsequent encounter"
Burn injury,classifies,"Corrosions of right ear drum, initial encounter"
Burn injury,classifies,Burns involving 60-69% of body surface with 20-29% third degree burns
Burn injury,classifies,Burns involving 80-89% of body surface with 80-89% third degree burns
Burn injury,classifies,Burns involving 80-89% of body surface with 0% to 9% third degree burns
Burn injury,classifies,"Corrosions of unspecified ear drum, subsequent encounter"
Burn injury,classifies,"Corrosions of unspecified internal organs, initial encounter"
Burn injury,classifies,Burns involving 90% or more of body surface with 10-19% third degree burns
Burn injury,classifies,Burns involving 30-39% of body surface with 30-39% third degree burns
Burn injury,classifies,"Burn of unspecified ear drum, sequela"
Burn injury,classifies,Burns involving 20-29% of body surface with 20-29% third degree burns
Burn injury,classifies,Burns involving 80-89% of body surface with 70-79% third degree burns
Burn injury,classifies,Burns involving 60-69% of body surface with 60-69% third degree burns
Burn injury,classifies,"Corrosions of right ear drum, subsequent encounter"
Burn injury,classifies,"Corrosions of left ear drum, sequela"
Burn injury,classifies,Burns involving 90% or more of body surface with 60-69% third degree burns
Burn injury,classifies,Burns involving 80-89% of body surface with 50-59% third degree burns
Burn injury,classifies,"Burn of left ear drum, initial encounter"
Burn injury,classifies,Burns involving 70-79% of body surface with 70-79% third degree burns
Burn injury,classifies,Burns involving 70-79% of body surface with 20-29% third degree burns
Burn injury,classifies,"Burn of other parts of alimentary tract, sequela"
Burn injury,classifies,Burns involving 70-79% of body surface with 60-69% third degree burns
Burn injury,classifies,"Burn of mouth and pharynx, sequela"
Burn injury,classifies,Corrosions involving 10-19% of body surface with 10-19% third degree corrosion
Burn injury,classifies,"Burn of unspecified internal organ, initial encounter"
Burn injury,classifies,"Burn of mouth and pharynx, initial encounter"
Burn injury,classifies,Burns involving 50-59% of body surface with 0% to 9% third degree burns
Burn injury,classifies,"Burn of other internal organ, initial encounter"
Burn injury,classifies,Burns involving 50-59% of body surface with 20-29% third degree burns
Burn injury,classifies,Burns involving 90% or more of body surface with 40-49% third degree burns
Burn injury,classifies,Burns involving 80-89% of body surface with 20-29% third degree burns
Burn injury,classifies,"Corrosion of mouth and pharynx, sequela"
Burn injury,classifies,"Corrosion of esophagus, sequela"
Burn injury,classifies,Burns involving 70-79% of body surface with 50-59% third degree burns
Burn injury,classifies,Burns involving 30-39% of body surface with 10-19% third degree burns
Burn injury,classifies,"Burn of right ear drum, initial encounter"
Burn injury,classifies,Burns involving 70-79% of body surface with 10-19% third degree burns
Burn injury,classifies,Burns involving 80-89% of body surface with 60-69% third degree burns
Burn injury,classifies,"Burn of unspecified internal organ, subsequent encounter"
Burn injury,classifies,"Burn of other internal organ, subsequent encounter"
Burn injury,classifies,Burns involving 70-79% of body surface with 30-39% third degree burns
Burn injury,classifies,"Burn of unspecified ear drum, initial encounter"
Burn injury,classifies,Burns involving 80-89% of body surface with 30-39% third degree burns
Burn injury,classifies,"Burn of right ear drum, sequela"
Burn injury,classifies,Burns involving 80-89% of body surface with 10-19% third degree burns
Burn injury,classifies,"Corrosion of respiratory tract, part unspecified, sequela"
Burn injury,classifies,"Burn of left ear drum, subsequent encounter"
Burn injury,classifies,"Corrosions of left ear drum, initial encounter"
Burn injury,classifies,"Corrosions of left ear drum, subsequent encounter"
Burn injury,classifies,Burns involving 60-69% of body surface with 0% to 9% third degree burns
Burn injury,classifies,Burns involving 30-39% of body surface with 20-29% third degree burns
Burn injury,classifies,"Corrosion of mouth and pharynx, subsequent encounter"
Burn injury,classifies,Burns involving 40-49% of body surface with 40-49% third degree burns
Burn injury,classifies,Corrosions involving 10-19% of body surface with 0% to 9% third degree corrosion
Burn injury,classifies,Burns involving 20-29% of body surface with 0% to 9% third degree burns
Burn injury,classifies,"Corrosion of internal genitourinary organs, initial encounter"
Burn injury,classifies,"Corrosion of esophagus, subsequent encounter"
Burn injury,classifies,"Corrosions of other internal organs, sequela"
Burn injury,classifies,Burns involving 90% or more of body surface with 20-29% third degree burns
Burn injury,classifies,Burns involving 10-19% of body surface with 0% to 9% third degree burns
Burn injury,classifies,"Corrosions of other internal organs, subsequent encounter"
Burn injury,classifies,Burns involving 70-79% of body surface with 40-49% third degree burns
Burn injury,classifies,"Corrosion of mouth and pharynx, initial encounter"
Burn injury,classifies,Burns involving 30-39% of body surface with 0% to 9% third degree burns
Burn injury,classifies,Burns involving 60-69% of body surface with 50-59% third degree burns
Burn injury,classifies,Burns involving 90% or more of body surface with 80-89% third degree burns
Burn injury,classifies,"Burn of esophagus, subsequent encounter"
Burn injury,classifies,"Burn of esophagus, initial encounter"
Burn injury,classifies,Burns involving 90% or more of body surface with 30-39% third degree burns
Burn injury,classifies,Burns involving 60-69% of body surface with 10-19% third degree burns
Burn injury,classifies,Burns involving 90% or more of body surface with 0% to 9% third degree burns
Burn injury,classifies,"Corrosions of unspecified internal organs, subsequent encounter"
Burn injury,classifies,Burns involving 40-49% of body surface with 30-39% third degree burns
Burn injury,classifies,"Burn of internal genitourinary organs, subsequent encounter"
Burn injury,classifies,"Corrosion of other parts of alimentary tract, initial encounter"
Burn injury,classifies,"Corrosion of other parts of respiratory tract, sequela"
Burn injury,classifies,"Corrosions of unspecified ear drum, sequela"
Burn injury,classifies,"Corrosion of respiratory tract, part unspecified, initial encounter"
Burn injury,classifies,"Corrosions of unspecified ear drum, initial encounter"
Burn injury,classifies,Burns involving 60-69% of body surface with 40-49% third degree burns
Burn injury,classifies,Burns involving 90% or more of body surface with 90% or more third degree burns
Burn injury,classifies,"Corrosion of other parts of alimentary tract, subsequent encounter"
Burn injury,classifies,"Burn of esophagus, sequela"
Burn injury,classifies,Burns involving 10-19% of body surface with 10-19% third degree burns
Burn injury,classifies,"Corrosion of internal genitourinary organs, sequela"
Burn injury,classifies,Burns involving 70-79% of body surface with 0% to 9% third degree burns
Burn injury,classifies,Burns involving 40-49% of body surface with 0% to 9% third degree burns
Burn injury,classifies,"Burn of other internal organ, sequela"
Burn injury,classifies,"Corrosion of esophagus, initial encounter"
Burn injury,classifies,"Corrosions of right ear drum, sequela"
Burn injury,classifies,"Burn of other parts of alimentary tract, initial encounter"
Burn injury,classifies,"Corrosion with resulting rupture and destruction of right eyeball, initial encounter"
Burn injury,classifies,"Burn of cornea and conjunctival sac, right eye, sequela"
Burn injury,classifies,"Corrosion of cornea and conjunctival sac, right eye, sequela"
Burn injury,classifies,"Burn of left eye and adnexa, part unspecified, subsequent encounter"
Burn injury,classifies,"Corrosion of right eye and adnexa, part unspecified, subsequent encounter"
Burn injury,classifies,"Burn of larynx and trachea, sequela"
Burn injury,classifies,"Corrosion of left eye and adnexa, part unspecified, subsequent encounter"
Burn injury,classifies,"Corrosion with resulting rupture and destruction of left eyeball, sequela"
Burn injury,classifies,"Corrosion with resulting rupture and destruction of left eyeball, initial encounter"
Burn injury,classifies,"Burn of cornea and conjunctival sac, right eye, subsequent encounter"
Burn injury,classifies,"Burn of left eyelid and periocular area, sequela"
Burn injury,classifies,"Corrosion of right eye and adnexa, part unspecified, initial encounter"
Burn injury,classifies,"Corrosion of third degree of multiple sites of unspecified ankle and foot, sequela"
Burn injury,classifies,"Burn of other parts of respiratory tract, sequela"
Burn injury,classifies,"Corrosion of larynx and trachea, sequela"
Burn injury,classifies,"Burn with resulting rupture and destruction of right eyeball, sequela"
Burn injury,classifies,"Burn with resulting rupture and destruction of right eyeball, initial encounter"
Burn injury,classifies,"Corrosion of right eye and adnexa, part unspecified, sequela"
Burn injury,classifies,"Corrosion of left eye and adnexa, part unspecified, initial encounter"
Burn injury,classifies,"Burn of left eye and adnexa, part unspecified, initial encounter"
Burn injury,classifies,"Corrosion of other parts of respiratory tract, subsequent encounter"
Burn injury,classifies,"Burn of right eye and adnexa, part unspecified, initial encounter"
Burn injury,classifies,"Corrosion with resulting rupture and destruction of left eyeball, subsequent encounter"
Burn injury,classifies,"Corrosion with resulting rupture and destruction of right eyeball, subsequent encounter"
Burn injury,classifies,"Burn of right eye and adnexa, part unspecified, subsequent encounter"
Burn injury,classifies,"Corrosion of cornea and conjunctival sac, right eye, initial encounter"
Burn injury,classifies,"Corrosion of larynx and trachea, initial encounter"
Burn injury,classifies,"Corrosion of cornea and conjunctival sac, left eye, initial encounter"
Burn injury,classifies,"Corrosion of cornea and conjunctival sac, right eye, subsequent encounter"
Burn injury,classifies,"Burn with resulting rupture and destruction of left eyeball, sequela"
Burn injury,classifies,"Burn of right eyelid and periocular area, sequela"
Burn injury,classifies,"Corrosion of cornea and conjunctival sac, left eye, subsequent encounter"
Burn injury,classifies,"Burn involving larynx and trachea with lung, subsequent encounter"
Burn injury,classifies,"Burn with resulting rupture and destruction of left eyeball, initial encounter"
Burn injury,classifies,"Burn involving larynx and trachea with lung, sequela"
Burn injury,classifies,"Burn of cornea and conjunctival sac, left eye, initial encounter"
Burn injury,classifies,"Corrosion involving larynx and trachea with lung, sequela"
Burn injury,classifies,"Burn of right eyelid and periocular area, initial encounter"
Burn injury,classifies,"Burn of left eyelid and periocular area, subsequent encounter"
Burn injury,classifies,"Burn of right eye and adnexa, part unspecified, sequela"
Burn injury,classifies,"Corrosion of larynx and trachea, subsequent encounter"
Burn injury,classifies,"Corrosion of other parts of respiratory tract, initial encounter"
Burn injury,classifies,"Burn of cornea and conjunctival sac, left eye, subsequent encounter"
Burn injury,classifies,"Burn of other parts of respiratory tract, initial encounter"
Burn injury,classifies,"Burn of cornea and conjunctival sac, left eye, sequela"
Burn injury,classifies,"Corrosion of third degree of multiple sites of unspecified ankle and foot, subsequent encounter"
Burn injury,classifies,"Burn of larynx and trachea, initial encounter"
Burn injury,classifies,"Corrosion involving larynx and trachea with lung, initial encounter"
Burn injury,classifies,"Corrosion of cornea and conjunctival sac, left eye, sequela"
Burn injury,classifies,"Corrosion involving larynx and trachea with lung, subsequent encounter"
Burn injury,classifies,"Burn of cornea and conjunctival sac, right eye, initial encounter"
Burn injury,classifies,"Burn of right eyelid and periocular area, subsequent encounter"
Burn injury,classifies,"Burn involving larynx and trachea with lung, initial encounter"
Burn injury,classifies,"Burn of respiratory tract, part unspecified, initial encounter"
Burn injury,classifies,"Burn with resulting rupture and destruction of right eyeball, subsequent encounter"
Burn injury,classifies,"Burn of left eyelid and periocular area, initial encounter"
Burn injury,classifies,"Burn with resulting rupture and destruction of left eyeball, subsequent encounter"
Burn injury,classifies,"Corrosion of third degree of multiple sites of left ankle and foot, sequela"
Burn injury,classifies,"Corrosion with resulting rupture and destruction of right eyeball, sequela"
Burn injury,classifies,"Burn of respiratory tract, part unspecified, subsequent encounter"
Burn injury,classifies,"Burn of other parts of respiratory tract, subsequent encounter"
Burn injury,classifies,"Burn of left eye and adnexa, part unspecified, sequela"
Burn injury,classifies,"Burn of larynx and trachea, subsequent encounter"
Burn injury,classifies,"Burn of respiratory tract, part unspecified, sequela"
Burn injury,classifies,"Corrosion of third degree of multiple sites of unspecified ankle and foot, initial encounter"
Burn injury,classifies,"Corrosion of left eye and adnexa, part unspecified, sequela"
Burn injury,classifies,"Corrosion of third degree of left toe(s) (nail), initial encounter"
Burn injury,classifies,"Corrosion of third degree of unspecified thigh, subsequent encounter"
Burn injury,classifies,"Burn of unspecified degree of unspecified ankle, subsequent encounter"
Burn injury,classifies,"Burn of third degree of right ankle, sequela"
Burn injury,classifies,"Corrosion of second degree of left lower leg, initial encounter"
Burn injury,classifies,"Burn of second degree of left toe(s) (nail), sequela"
Burn injury,classifies,"Corrosion of third degree of right lower leg, sequela"
Burn injury,classifies,"Corrosion of third degree of unspecified site of right lower limb, except ankle and foot, subsequent encounter"
Burn injury,classifies,"Burn of third degree of left toe(s) (nail), initial encounter"
Burn injury,classifies,"Corrosion of second degree of unspecified lower leg, initial encounter"
Burn injury,classifies,"Corrosion of first degree of right ankle, sequela"
Burn injury,classifies,"Burn of unspecified degree of unspecified toe(s) (nail), subsequent encounter"
Burn injury,classifies,"Corrosion of first degree of multiple sites of right ankle and foot, sequela"
Burn injury,classifies,"Burn of unspecified degree of multiple sites of left ankle and foot, sequela"
Burn injury,classifies,"Corrosion of unspecified degree of right knee, subsequent encounter"
Burn injury,classifies,"Corrosion of unspecified degree of right toe(s) (nail), subsequent encounter"
Burn injury,classifies,"Corrosion of first degree of unspecified thigh, sequela"
Burn injury,classifies,"Corrosion of first degree of multiple sites of left ankle and foot, sequela"
Burn injury,classifies,"Corrosion of third degree of left toe(s) (nail), subsequent encounter"
Burn injury,classifies,"Corrosion of second degree of multiple sites of left lower limb, except ankle and foot, sequela"
Burn injury,classifies,"Corrosion of second degree of unspecified site of right lower limb, except ankle and foot, subsequent encounter"
Burn injury,classifies,"Corrosion of second degree of unspecified site of left lower limb, except ankle and foot, subsequent encounter"
Burn injury,classifies,"Burn of unspecified degree of left toe(s) (nail), sequela"
Burn injury,classifies,"Burn of third degree of right foot, sequela"
Burn injury,classifies,"Corrosion of second degree of unspecified site of right lower limb, except ankle and foot, sequela"
Burn injury,classifies,"Burn of third degree of multiple sites of unspecified ankle and foot, sequela"
Burn injury,classifies,"Burn of second degree of left foot, sequela"
Burn injury,classifies,"Corrosion of third degree of left thigh, initial encounter"
Burn injury,classifies,"Corrosion of third degree of left thigh, subsequent encounter"
Burn injury,classifies,"Corrosion of unspecified degree of unspecified site of left lower limb, except ankle and foot, subsequent encounter"
Burn injury,classifies,"Corrosion of second degree of unspecified site of right lower limb, except ankle and foot, initial encounter"
Burn injury,classifies,"Burn of unspecified degree of right toe(s) (nail), initial encounter"
Burn injury,classifies,"Corrosion of unspecified degree of left toe(s) (nail), sequela"
Burn injury,classifies,"Corrosion of third degree of right lower leg, initial encounter"
Burn injury,classifies,"Corrosion of third degree of multiple sites of left ankle and foot, initial encounter"
Burn injury,classifies,"Burn of third degree of unspecified thigh, sequela"
Burn injury,classifies,"Corrosion of second degree of unspecified toe(s) (nail), subsequent encounter"
Burn injury,classifies,"Corrosion of unspecified degree of unspecified foot, sequela"
Burn injury,classifies,"Corrosion of second degree of unspecified foot, sequela"
Burn injury,classifies,"Burn of unspecified degree of unspecified foot, initial encounter"
Burn injury,classifies,"Corrosion of first degree of unspecified site of right lower limb, except ankle and foot, subsequent encounter"
Burn injury,classifies,"Corrosion of third degree of unspecified site of right lower limb, except ankle and foot, sequela"
Burn injury,classifies,"Corrosion of unspecified degree of multiple sites of unspecified lower limb, except ankle and foot, subsequent encounter"
Burn injury,classifies,"Corrosion of unspecified degree of left knee, initial encounter"
Burn injury,classifies,"Corrosion of second degree of right thigh, sequela"
