subject,predicate,object
Abdominal Pain,classifies,signs and symptoms of ill-defined conditions
Abdominal Pain,classifies,Gastrointestinal Pain
Abdominal Pain,related_to,Pelvic Pain
Abdominal Pain,related_to,Pain
Abdominal Pain,related_to,Peritoneal Diseases
Abdominal Pain,related_to,Stomach Diseases
Abdominal Pain,related_to,Dyspepsia
Abdominal Pain,related_to,gastrointestinal gas
Abdominal Pain,has_defining_characteristic,Latex allergy reaction
Abdominal Pain,has_defining_characteristic,Dysfunctional gastrointestinal motility
Abdominal Pain,has_defining_characteristic,Deficient Food Intake
Abdominal Pain,has_defining_characteristic,Constipation
Abdominal Pain,has_defining_characteristic,Diarrhea
Abdominal Pain,has_defining_characteristic,Anxiety
Abdominal Pain,primary_mapped_from,Other and unspecified abdominal pain
skin abrasion,subset_includes_concept,Patient Problem Codes FDA CDRH
skin abrasion,subset_includes_concept,Pediatric Terminology
skin abrasion,subset_includes_concept,FDA Center For Devices and Radiological Health Terminology
skin abrasion,subset_includes_concept,Pediatric Adverse Events Terminology
skin abrasion,inverse_isa,Traumatic injury
skin abrasion,nichd_parent_of,Integumentary System Finding
skin abrasion,cdrh_parent_of,Traumatic injury
skin abrasion,has_cdrh_parent,Suture abrasion
Pain,subset_includes_concept,Pediatric Terminology
Pain,subset_includes_concept,Linear Analogue Self-Assessment
Pain,subset_includes_concept,Edmonton symptom assessment system
Pain,subset_includes_concept,Pediatric Immunization Terminology
Pain,subset_includes_concept,Pediatric Adverse Events Terminology
Pain,subset_includes_concept,CTRP Terminology
Pain,subset_includes_concept,FDA Center For Devices and Radiological Health Terminology
Pain,subset_includes_concept,Patient Problem Codes FDA CDRH
Pain,inverse_isa,Clinical or Research Assessment Answer
Pain,inverse_isa,Symptoms
Pain,inverse_isa,systemic symptoms
Pain,inverse_isa,General Qualifier
Pain,inverse_isa,Comfort alteration
Pain,inverse_isa,Constitutional Symptom
Pain,due_to,pain interfering with usual activity normal work
Pain,due_to,pain interfering with usual activity enjoyment of life
Pain,due_to,pain interfering with usual activity interpersonal relationships
Pain,due_to,pain interfering with usual activity walking ability
Pain,due_to,pain interfering with usual activity
Pain,due_to,pain affecting mood
Pain,has_focus,Opioid medication review
Pain,has_focus,Documentation of pain medication action plan
Pain,has_focus,Management of patient controlled analgesia
Pain,has_focus,Education about pain
Pain,has_focus,Pain education
Pain,has_focus,Implementation of pain guidelines
Pain,has_focus,Pain control
Pain,has_focus,Implementation of alternative methods of pain control
Pain,has_focus,Pain and symptom management
Pain,has_focus,Identification of cultural and value components related to pain management
Pain,has_focus,Cancer pain and symptom management
Pain,has_focus,Pain relief
Pain,has_focus,Pain rehabilitation
Pain,has_focus,Minimizing pain
Pain,has_focus,Preventing pain
Pain,has_focus,Pain management
Pain,has_definitional_manifestation,Meralgia paresthetica of left leg
Pain,has_definitional_manifestation,Phantom pain following excision of eye
Pain,has_definitional_manifestation,Right trigeminal neuralgia
Pain,has_definitional_manifestation,Phantom pain following amputation of lower limb
Pain,has_definitional_manifestation,Phantom pain following amputation of upper limb
Pain,has_definitional_manifestation,Left trigeminal neuralgia
Pain,has_definitional_manifestation,Chronic psychogenic pain
Pain,has_definitional_manifestation,Meralgia paresthetica of right leg
Pain,has_definitional_manifestation,Phantom pain
Pain,has_definitional_manifestation,Phantom pain following amputation of penis
Pain,has_definitional_manifestation,painful nasal mass
Pain,disease_excludes_finding,Ivory Exostosis
Pain,disease_excludes_finding,Osteoma of skull
Pain,disease_excludes_finding,Osteoma
Pain,disease_excludes_finding,Bone island
Pain,nichd_parent_of,Sign or Symptom
Pain,evaluation_of,Pain:-:Point in time:^Patient:-
Pain,evaluation_of,Pain symptoms:-:Pt:^Patient:Set
Pain,evaluation_of,Pain:Find:Pt:^Patient:Ord:Observed.CCC
Pain,has_risk_factor,Risk for delayed surgical recovery
Pain,has_risk_factor,At risk for disuse syndrome
Pain,has_risk_factor,At risk for impaired religiosity
Pain,has_risk_factor,At risk for disorganized infant behavior
Pain,has_risk_factor,At risk for powerlessness
Pain,has_risk_factor,At risk for spiritual distress
Pain,has_risk_factor,At risk for acute confusion
Pain,mapped_from,Pain Perception
Pain,mapped_from,General symptom/complaint other
Pain,mapped_from,Pain management
Pain,associated_with,varicose veins of bilateral legs with pain
Pain,associated_with,painful diarrhea
Pain,associated_with,Displacement of intervertebral disc without myelopathy
Pain,associated_with,recent decrease in activity due to pain in affected area
Pain,associated_with,large painful lump under skin
Pain,associated_with,taking medication for pain
Pain,associated_with,varicose veins with pain
Pain,associated_with,Gastrointestinal Pain
Pain,associated_with,Phantom Limb Syndrome
Pain,cdrh_parent_of,Patient Problem Codes FDA CDRH
Pain,possibly_equivalent_to,(Pain) or (C/O: [ache] or [pain])
Pain,possibly_equivalent_to,Discomforting present pain
Pain,actual_outcome_of,Worse
Pain,actual_outcome_of,Improved
Pain,actual_outcome_of,Stabilized (qualifier value)
Pain,has_manifestation,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2A2 (disorder)"
Pain,has_manifestation,Epithelial Recurrent Erosion Dystrophy
Pain,expected_outcome_of,Worse
Pain,expected_outcome_of,Improved
Pain,expected_outcome_of,Stabilized (qualifier value)
Pain,has_associated_finding,Pain behavior present
Pain,has_associated_finding,Absence of pain
Pain,has_cdrh_parent,Intraoperative Pain
Pain,has_cdrh_parent,Chest Pain
Pain,has_cdrh_parent,Heartburn
Pain,has_cdrh_parent,Myalgia
Pain,has_cdrh_parent,Neck Pain
Pain,has_cdrh_parent,Arthralgia
Pain,has_cdrh_parent,Abdominal Pain
Pain,measures,Assessment of Patient Status Related to Unspecified Pain
Pain,has_member,Physical & Psychosomatic Disorders (PsycINFO Subcluster Term)
Pain,has_member,Symptomatology (PsycINFO Subcluster Term)
Pain,has_member,Neurological Disorders (PsycINFO Subcluster Term)
Pain,classifies,Residual codes; unclassified; all E codes
Pain,sign_or_symptom_of,Pain - other
Pain,sign_or_symptom_of,Facial grimacing
Pain,sign_or_symptom_of,pallor/perspiration
Pain,sign_or_symptom_of,compensated movement/guarding
Pain,sign_or_symptom_of,restless behavior
Pain,sign_or_symptom_of,expresses discomfort/pain
Pain,sign_or_symptom_of,elevated pulse/respirations/blood pressure
Pain,related_to,Chronic pain
Pain,related_to,Trigeminal Neuralgia
Pain,related_to,Pelvic Pain
Pain,related_to,Peripheral Neuropathy
Pain,related_to,Back Pain
Pain,related_to,Complex Regional Pain Syndromes
Pain,related_to,Chest Pain
Pain,related_to,Dysmenorrhea
Pain,related_to,Palliative Care
Pain,related_to,Fibromyalgia
Pain,related_to,Analgesics
Pain,related_to,Anesthesia procedures
Pain,related_to,Abdominal Pain
Pain,primary_mapped_to,Other general symptoms
Pain,has_defining_characteristic,Labor Pain
Pain,has_defining_characteristic,Grief reaction
Pain,use,Ache
Pain,use,Nociception
Neck Pain,subset_includes_concept,FDA Center For Devices and Radiological Health Terminology
Neck Pain,subset_includes_concept,Patient Problem Codes FDA CDRH
Neck Pain,inverse_isa,Symptom of neck
Neck Pain,inverse_isa,"disorders of peripheral nerve, neuromuscular junction and muscle"
Neck Pain,inverse_isa,Pain
Neck Pain,mapped_from,Neck symptom/complaint
Neck Pain,cdrh_parent_of,Pain
Neck Pain,possibly_equivalent_to,Pain in neck (& [cervical spine])
Neck Pain,has_manifestation,"Spastic paraplegia 25, autosomal recessive"
Neck Pain,has_manifestation,"SYRINGOMYELIA, NONCOMMUNICATING ISOLATED"
Neck Pain,has_manifestation,"Arnold-Chiari Malformation, Type I"
Neck Pain,has_associated_finding,reported prior neck trouble
Neck Pain,has_member,Arthritis (SMQ)
Neck Pain,classifies,Spondylosis; intervertebral disc disorders; other back problems
Neck Pain,classifies,Other back pain and disorders
Neck Pain,classifies,Other and unspecified back disorders
Heartburn,subset_includes_concept,Pediatric Adverse Events Terminology
Heartburn,subset_includes_concept,Pediatric Terminology
Heartburn,subset_includes_concept,FDA Center For Devices and Radiological Health Terminology
Heartburn,subset_includes_concept,Patient Problem Codes FDA CDRH
Heartburn,inverse_isa,Pain
Heartburn,inverse_isa,"Signs and Symptoms, Digestive"
Heartburn,nichd_parent_of,"Signs and Symptoms, Digestive"
Heartburn,associated_with,taking over-the-counter medication for heartburn
Heartburn,cdrh_parent_of,Pain
Heartburn,has_associated_finding,History of heartburn
Heartburn,has_member,Gastrointestinal nonspecific dysfunction (SMQ)
Heartburn,classifies,Dyspepsia
Heartburn,classifies,Other gastrointestinal disorders
Heartburn,related_to,Dyspepsia
Heartburn,related_to,Chest Pain
Heartburn,related_to,Gastroesophageal reflux disease
Heartburn,has_defining_characteristic,Swallowing problem
Acute abdominal pain,mapped_from,"Abdomen, Acute"
Acute abdominal pain,mapped_from,Abdominal pain/cramps general
Acute chest pain,has_member,Cardiomyopathy (SMQ)
Acute chest pain,has_member,Gastrointestinal nonspecific symptoms and therapeutic procedures (SMQ)
Acute chest pain,classifies,Chest Pain
Acute onset pain,inverse_isa,Pain
Acute onset pain,inverse_isa,Comfort alteration
Acute onset pain,inverse_isa,Pain Disorder
Acute onset pain,has_focus,Acute pain control
Acute onset pain,evaluation_of,Acute pain:Find:Pt:^Patient:Ord:Observed.CCC
Acute onset pain,mapped_from,General symptom/complaint other
Acute onset pain,actual_outcome_of,Improved
Acute onset pain,actual_outcome_of,Worse
Acute onset pain,actual_outcome_of,Stabilized (qualifier value)
Acute onset pain,expected_outcome_of,Improved
Acute onset pain,expected_outcome_of,Stabilized (qualifier value)
Acute onset pain,expected_outcome_of,Worse
Acute onset pain,measures,Assessment of Patient Status Related to Acute Pain
Acute onset pain,classifies,Pain
Acute onset pain,primary_mapped_to,Other general symptoms
Acute onset pain,has_defining_characteristic,Impaired tissue integrity
Acute onset pain,has_defining_characteristic,Impaired skin integrity
Acute onset pain,related_factor_of,Trauma - physical agent
Acute onset pain,related_factor_of,Chemical injury agent
Acute onset pain,related_factor_of,Biological injury agent
Acute onset pain,defining_characteristic_of,Positioning to ease pain
Acute onset pain,defining_characteristic_of,Protective behavior
Acute onset pain,defining_characteristic_of,Evidence of pain using standardized pain behavior checklist for those unable to communicate verbally
Acute onset pain,defining_characteristic_of,Self-focused
Acute onset pain,defining_characteristic_of,Facial expression of pain
Acute onset pain,defining_characteristic_of,Expressive behavior
Acute onset pain,defining_characteristic_of,Self-report of pain characteristics using standardized pain instrument
Acute onset pain,defining_characteristic_of,Altered appetite
Acute onset pain,defining_characteristic_of,Narrowed focus
Acute onset pain,defining_characteristic_of,Increased sweating
Acute onset pain,defining_characteristic_of,Guarding behavior
Acute onset pain,defining_characteristic_of,Feeling hopeless
Acute onset pain,defining_characteristic_of,Change in physiological parameter
Acute onset pain,defining_characteristic_of,Self-report of intensity using standardized pain scale
Acute onset pain,defining_characteristic_of,Proxy report of pain behavior/activity changes
Acute onset pain,defining_characteristic_of,Mydriasis
Acute onset pain,defining_characteristic_of,Distraction behavior
Anal pain,inverse_isa,Pain
Anal pain,inverse_isa,Gastrointestinal symptom
Anal pain,inverse_isa,Gastrointestinal Pain
Anal pain,mapped_from,Other specified diseases of anus and rectum
Anal pain,mapped_from,Anal and rectal pains
Anal pain,classifies,Rectal pain
Back Pain,subset_includes_concept,Pediatric Terminology
Back Pain,subset_includes_concept,Pediatric Adverse Events Terminology
Back Pain,inverse_isa,Abnormality of the vertebral column
Back Pain,inverse_isa,orthopedic disorders of spine
Back Pain,inverse_isa,Dorsopathy
Back Pain,inverse_isa,back symptoms
Back Pain,inverse_isa,Pain
Back Pain,has_focus,back pain and function assessed
Back Pain,has_focus,counseling for supervised exercise program during episode of back pain lasting 12+ weeks
Back Pain,has_definitional_manifestation,Disorder characterized by back pain
Back Pain,has_definitional_manifestation,Psychogenic backache
Back Pain,nichd_parent_of,Pain
Back Pain,evaluation_of,Back pain:Find:Pt:^Patient:Ord:MDS
Back Pain,mapped_from,back symptoms
Back Pain,possibly_equivalent_to,(Backache unspecified) or (back pain unspecified & [acute])
Back Pain,possibly_equivalent_to,(Backache NOS) or (back pain [& low])
Back Pain,has_manifestation,"Spastic paraplegia 25, autosomal recessive"
Back Pain,has_manifestation,Sacral defect and anterior sacral meningocele
Back Pain,has_manifestation,"MYOPATHY, X-LINKED, WITH POSTURAL MUSCLE ATROPHY (disorder)"
Back Pain,has_manifestation,"Spondyloepiphyseal dysplasia tarda, Toledo type"
Back Pain,has_manifestation,Inclusion Body Myopathy with Early-Onset Paget Disease with or without Frontotemporal Dementia 1
Back Pain,has_manifestation,Alkaptonuria
Back Pain,has_associated_finding,Family history of backache
Back Pain,has_associated_finding,History of back pain
Back Pain,has_associated_finding,No backache
Back Pain,has_member,Retroperitoneal fibrosis (SMQ)
Back Pain,has_member,Neurological Disorders (PsycINFO Subcluster Term)
Back Pain,has_member,Symptomatology (PsycINFO Subcluster Term)
Back Pain,has_member,Physical & Psychosomatic Disorders (PsycINFO Subcluster Term)
Back Pain,classifies,Spondylosis; intervertebral disc disorders; other back problems
Back Pain,classifies,Other and unspecified back disorders
Back Pain,related_to,Guide to Good Posture
Back Pain,related_to,Spine Injuries and Disorders
Back Pain,related_to,Pain
Back Pain,related_to,science of ergonomics
Back Pain,related_to,Sciatica
Back Pain,related_to,Back Injuries
Back Pain,related_to,"Disk, Herniated"
Back Pain,related_to,Spinal Stenosis
Back Pain,related_to,Chiropractic (field)
Back Pain,primary_mapped_from,"Unspecified dorsalgia, lumbar region"
Back Pain,primary_mapped_from,"Other dorsalgia, thoracic region"
Back Pain,primary_mapped_from,"Other dorsalgia, lumbar region"
Back Pain,primary_mapped_from,"Unspecified dorsalgia, thoracolumbar region"
Back Pain,primary_mapped_from,"Unspecified dorsalgia, cervical region"
Back Pain,primary_mapped_from,"Unspecified dorsalgia, occipito-atlanto-axial region"
Back Pain,primary_mapped_from,"Other dorsalgia, thoracolumbar region"
Back Pain,primary_mapped_from,"Unspecified dorsalgia, multiple sites in spine"
Back Pain,primary_mapped_from,"Other dorsalgia, occipito-atlanto-axial region"
Back Pain,primary_mapped_from,"Unspecified dorsalgia, site unspecified"
Back Pain,primary_mapped_from,"Unspecified dorsalgia, cervicothoracic region"
Back Pain,primary_mapped_from,"Other dorsalgia, cervicothoracic region"
Back Pain,primary_mapped_from,"Other dorsalgia, cervical region"
Back Pain,primary_mapped_from,"Other dorsalgia, site unspecified"
Back Pain,primary_mapped_from,"Other dorsalgia, sacral and sacrococcygeal region"
Back Pain,primary_mapped_from,"Unspecified dorsalgia, lumbosacral region"
Back Pain,primary_mapped_from,"Unspecified dorsalgia, thoracic region"
Back Pain,primary_mapped_from,"Other dorsalgia, lumbosacral region"
Back Pain,primary_mapped_from,"Other dorsalgia, multiple sites in spine"
Back Pain,primary_mapped_from,"Unspecified dorsalgia, sacral and sacrococcygeal region"
Ankle pain,inverse_isa,Arthralgia of the ankle and/or foot
Ankle pain,inverse_isa,Pain
Ankle pain,inverse_isa,Symptom of ankle
Ankle pain,mapped_from,Arthralgia
Ankle pain,mapped_from,Symptom of ankle
Ankle pain,possibly_equivalent_to,Pain in limb (& [ankle] or [arm] or [foot] or [hand] or [heel] or [leg] or [shoulder] or [thigh] or [buttock])
Ankle pain,possibly_equivalent_to,Arthralgia of the ankle and/or foot
Ankle pain,has_manifestation,"Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy"
Ankle pain,has_member,Arthritis (SMQ)
Ankle pain,classifies,Arthralgia
Arthralgia,subset_includes_concept,FDA Center For Devices and Radiological Health Terminology
Arthralgia,subset_includes_concept,Pediatric Terminology
Arthralgia,subset_includes_concept,Patient Problem Codes FDA CDRH
Arthralgia,subset_includes_concept,Pediatric Rheumatology Terminology
Arthralgia,subset_includes_concept,Pediatric Adverse Events Terminology
Arthralgia,subset_includes_concept,CTRP Terminology
Arthralgia,inverse_isa,orthopedic disorders
Arthralgia,inverse_isa,Pain
Arthralgia,inverse_isa,"neuromuscular, connective tissue, or soft tissue symptoms"
Arthralgia,nichd_parent_of,Pain
Arthralgia,nichd_parent_of,Sign or Symptom
Arthralgia,evaluation_of,Joint pain:Find:Pt:^Patient:Ord:MDS
Arthralgia,evaluation_of,Painful joints:Find:24H:Musculoskeletal system:Ord:Reported.HIV-SSC
Arthralgia,associated_with,taking medication for joint pain
Arthralgia,associated_with,Diffuse pain
Arthralgia,cdrh_parent_of,Pain
Arthralgia,possibly_equivalent_to,(Pain in joint) or (coxalgia)
Arthralgia,possibly_equivalent_to,(Other joint symptoms) or (joint crepitus) or (musculoskeletal pain in joints)
Arthralgia,has_manifestation,Pierre Robin syndrome with fetal chondrodysplasia
Arthralgia,has_manifestation,Familial Mediterranean Fever
Arthralgia,has_manifestation,"AUTOINFLAMMATION, ANTIBODY DEFICIENCY, AND IMMUNE DYSREGULATION, PLCG2-ASSOCIATED"
Arthralgia,has_manifestation,AUTOINFLAMMATION WITH INFANTILE ENTEROCOLITIS
Arthralgia,has_manifestation,OTULIN-related autoinflammatory syndrome
Arthralgia,has_manifestation,"SPONDYLOEPIPHYSEAL DYSPLASIA, STANESCU TYPE"
Arthralgia,has_manifestation,"Spondyloepimetaphyseal Dysplasia, Irapa Type"
Arthralgia,has_manifestation,"AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME, TYPE III"
Arthralgia,has_manifestation,"EPIPHYSEAL DYSPLASIA, MULTIPLE, 4"
Arthralgia,has_manifestation,Mucolipidosis III Gamma
Arthralgia,has_manifestation,Nakajo syndrome
Arthralgia,has_manifestation,"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, DI ROCCO TYPE"
Arthralgia,has_manifestation,"Familial Mediterranean Fever, Autosomal Dominant"
Arthralgia,has_manifestation,"HYPERTROPHIC OSTEOARTHROPATHY, PRIMARY, AUTOSOMAL RECESSIVE, 1"
Arthralgia,has_manifestation,Mevalonic Aciduria
Arthralgia,has_manifestation,"HEMOCHROMATOSIS, TYPE 4"
Arthralgia,has_manifestation,"EHLERS-DANLOS SYNDROME, MUSCULOCONTRACTURAL TYPE, 2"
Arthralgia,has_manifestation,"Necrotizing Encephalomyelopathy, Subacute, of Leigh, Adult"
Arthralgia,has_manifestation,TNF receptor-associated periodic fever syndrome (TRAPS)
Arthralgia,has_manifestation,"Spondyloepiphyseal Dysplasia Tarda, X-Linked"
Arthralgia,has_manifestation,"Hypophosphatemic Rickets, X-Linked Dominant"
Arthralgia,has_manifestation,"AUTOIMMUNE INTERSTITIAL LUNG, JOINT, AND KIDNEY DISEASE"
Arthralgia,has_manifestation,"CELIAC DISEASE, SUSCEPTIBILITY TO, 1"
Arthralgia,has_manifestation,"MICROCEPHALY, CONGENITAL CATARACT, AND PSORIASIFORM DERMATITIS"
Arthralgia,has_manifestation,"DEAFNESS, AUTOSOMAL DOMINANT 34, WITH OR WITHOUT INFLAMMATION"
Arthralgia,has_manifestation,"HYPERTROPHIC OSTEOARTHROPATHY, PRIMARY, AUTOSOMAL RECESSIVE, 2"
Arthralgia,has_manifestation,OSTEOARTHRITIS SUSCEPTIBILITY 3
Arthralgia,has_manifestation,Hyperimmunoglobulinemia D
Arthralgia,has_manifestation,Ehlers-Danlos syndrome caused by tenascin-X deficiency
Arthralgia,has_manifestation,Kniest dysplasia
Arthralgia,has_manifestation,INTERLEUKIN 1 RECEPTOR ANTAGONIST DEFICIENCY
Arthralgia,has_manifestation,PAROXYSMAL NOCTURNAL HEMOGLOBINURIA 2
Arthralgia,has_manifestation,"Czech dysplasia, metatarsal type"
Arthralgia,has_manifestation,Otospondylomegaepiphyseal dysplasia
Arthralgia,has_manifestation,Adiposis Dolorosa
Arthralgia,has_member,Rhabdomyolysis/myopathy (SMQ)
Arthralgia,has_member,Arthritis (SMQ)
Arthralgia,classifies,Musculoskeletal discomfort
Arthralgia,classifies,Other non-traumatic joint disorders
Polyarthralgia,inverse_isa,localized joint pain
Polyarthralgia,inverse_isa,Arthralgia
Polyarthralgia,mapped_from,joint symptom
Polyarthralgia,mapped_from,Arthralgia
Polyarthralgia,possibly_equivalent_to,(Joint: [disorder NOS] or [unstable]) or (polyarthralgia)
Polyarthralgia,has_associated_finding,History of pain of multiple joints
Polyarthralgia,has_member,Arthritis (SMQ)
Polyarthralgia,classifies,Arthralgia
Polyarthralgia,classifies,Other non-traumatic joint disorders
Arthritis,subset_includes_concept,Pediatric Terminology
Arthritis,subset_includes_concept,Patient Problem Codes FDA CDRH
Arthritis,subset_includes_concept,Pediatric Adverse Events Terminology
Arthritis,subset_includes_concept,FDA Center For Devices and Radiological Health Terminology
Arthritis,subset_includes_concept,Pediatric Rheumatology Terminology
Arthritis,inverse_isa,Abnormal joint morphology
Arthritis,inverse_isa,Arthropathy
Arthritis,due_to,Calcaneocuboid osteoarthritis secondary to inflammatory arthritis
Arthritis,due_to,Osteoarthritis of first metatarsophalangeal joint secondary to inflammatory arthritis
Arthritis,due_to,Osteoarthritis of ankle secondary to inflammatory arthritis
Arthritis,due_to,Osteoarthritis of midfoot secondary to inflammatory arthritis
Arthritis,due_to,Subtalar osteoarthritis secondary to inflammatory arthritis
Arthritis,due_to,Talonavicular osteoarthritis secondary to inflammatory arthritis
Arthritis,has_focus,"x-rays of both hands, arthritis view"
Arthritis,has_focus,"x-ray of left hand, arthritis view"
Arthritis,has_focus,"x-ray of right hand, arthritis view"
Arthritis,has_focus,Dietary education for arthritis
Arthritis,has_focus,Arthritis medication review
Arthritis,has_focus,Education about arthritis
Arthritis,has_focus,Arthritis screening
Arthritis,has_focus,"x-ray of hand, arthritis view"
Arthritis,has_definitional_manifestation,hemochromatosis arthritic
Arthritis,nichd_parent_of,Musculoskeletal Diseases
Arthritis,evaluation_of,Arthritis:Find:Pt:^Patient:Ord:MDS
Arthritis,mapped_from,Osteoarthrosis other
Arthritis,associated_with,typhoid fever with arthritis
